Alt,Time,Lat,Lon
4081.77, 2080/1/5 23:59:45.79,0,0
4080.95, 2080/1/5 23:59:47.79,0,0
4081.16, 2080/1/5 23:59:49.28,0,0
4082.8, 2080/1/12 17:51:56.10,0,0
4082.39, 2080/1/12 17:51:58.10,0,0
4082.39, 2080/1/12 17:51:59.10,0,0
4084.24, 2080/1/12 17:52:1.30,0,0
4085.88, 2080/1/12 17:52:3.30,0,0
4085.88, 2080/1/12 17:52:5.30,0,0
4088.13, 2080/1/12 17:52:6.31,0,0
4086.08, 2080/1/12 17:52:8.31,0,0
4087.72, 2080/1/12 17:52:10.31,0,0
4084.85, 2080/1/12 17:52:12.9,0,0
4085.88, 2080/1/12 17:52:14.9,0,0
4084.44, 2080/1/12 17:52:16.9,0,0
4086.9, 2080/1/12 17:52:16.9,0,0
4088.75, 2019/11/16 17:52:19.31,0,0
4088.13, 2019/11/16 17:52:21.31,0,0
4088.34, 2019/11/16 17:52:23.31,0,0
4086.9, 2019/11/16 17:52:23.31,0,0
4088.54, 2019/11/16 17:52:27.0,43.797958,-120.643654
4089.36, 2019/11/16 17:52:29.0,43.797958,-120.643661
4089.16, 2019/11/16 17:52:30.20,43.79797,-120.643661
4088.75, 2019/11/16 17:52:32.0,43.79797,-120.643661
4088.95, 2019/11/16 17:52:34.0,43.79797,-120.643661
4088.95, 2019/11/16 17:52:36.0,43.79911,-120.650253
4089.57, 2019/11/16 17:52:38.0,43.799103,-120.650261
4089.57, 2019/11/16 17:52:40.0,43.799091,-120.650261
4082.39, 2019/11/16 17:52:41.0,43.799088,-120.650261
4088.95, 2019/11/16 17:52:43.0,43.799095,-120.650261
4089.16, 2019/11/16 17:52:45.0,43.79911,-120.650261
4089.77, 2019/11/16 17:52:47.0,43.799114,-120.650261
4091, 2019/11/16 17:52:49.0,43.799114,-120.650269
4086.08, 2019/11/16 17:52:50.0,43.799122,-120.650269
4101.46, 2019/11/16 17:52:52.0,43.799107,-120.650269
4105.97, 2019/11/16 17:52:54.0,43.799103,-120.650269
4112.94, 2019/11/16 17:52:56.0,43.799107,-120.650269
4110.89, 2019/11/16 17:52:58.0,43.79911,-120.650269
4109.05, 2019/11/16 17:53:0.0,43.799103,-120.650284
4109.05, 2019/11/16 17:53:1.0,43.799099,-120.650284
4109.05, 2019/11/16 17:53:3.0,43.799103,-120.650284
4107.61, 2019/11/16 17:53:5.0,43.799103,-120.650284
4102.69, 2019/11/16 17:53:7.0,43.799095,-120.650284
4088.95, 2019/11/16 17:53:9.0,43.799084,-120.650269
4095.51, 2019/11/16 17:53:10.0,43.799065,-120.650269
4087.11, 2019/11/16 17:53:12.0,43.799057,-120.650269
4094.08, 2019/11/16 17:53:14.0,43.799042,-120.650261
4091.41, 2019/11/16 17:53:16.0,43.79903,-120.650246
4090.18, 2019/11/16 17:53:18.0,43.79903,-120.650246
4094.49, 2019/11/16 17:53:20.0,43.799026,-120.650246
4094.28, 2019/11/16 17:53:21.0,43.799034,-120.650238
4086.29, 2019/11/16 17:53:23.0,43.799046,-120.65023
4081.77, 2019/11/16 17:53:23.0,43.799046,-120.65023
4080.13, 2019/11/16 17:53:23.0,43.799046,-120.65023
4079.72, 2019/11/16 17:53:23.0,43.799046,-120.65023
4081.36, 2019/11/16 17:53:30.75,43.79911,-120.650269
4081.77, 2019/11/16 17:53:32.0,43.799107,-120.650261
4082.6, 2019/11/16 17:53:32.0,43.799107,-120.650261
4081.98, 2019/11/16 17:53:32.0,43.799107,-120.650261
4081.98, 2019/11/16 17:53:32.0,43.799107,-120.650261
4083.83, 2019/11/16 17:53:32.0,43.799107,-120.650261
4084.85, 2019/11/16 17:53:32.0,43.799107,-120.650261
4084.24, 2019/11/16 17:53:32.0,43.799107,-120.650261
4085.67, 2019/11/16 17:53:32.0,43.799107,-120.650261
4089.36, 2019/11/16 17:53:46.31,43.799107,-120.650261
4086.9, 2019/11/16 17:53:48.31,43.799107,-120.650261
4091.21, 2019/11/16 17:53:48.31,43.799107,-120.650261
4093.05, 2019/11/16 17:53:52.0,43.799091,-120.650291
4094.69, 2019/11/16 17:53:54.0,43.799099,-120.650269
4092.23, 2019/11/16 17:53:56.0,43.799072,-120.650238
4090.39, 2019/11/16 17:53:58.0,43.79908,-120.650246
4108.02, 2019/11/16 17:54:0.0,43.799076,-120.650238
4102.9, 2019/11/16 17:54:1.0,43.799076,-120.65023
4108.23, 2019/11/16 17:54:3.0,43.799076,-120.65023
4094.08, 2019/11/16 17:54:5.0,43.799076,-120.650238
4094.9, 2019/11/16 17:54:7.0,43.79908,-120.650238
4094.28, 2019/11/16 17:54:9.0,43.799084,-120.650246
4093.05, 2019/11/16 17:54:10.0,43.799084,-120.650246
4093.05, 2019/11/16 17:54:12.0,43.799084,-120.650246
4093.26, 2019/11/16 17:54:14.0,43.79908,-120.650238
4094.9, 2019/11/16 17:54:16.0,43.799076,-120.650238
4094.49, 2019/11/16 17:54:18.0,43.799072,-120.65023
4095.1, 2019/11/16 17:54:19.0,43.799076,-120.65023
4095.31, 2019/11/16 17:54:21.0,43.79908,-120.650238
4094.69, 2019/11/16 17:54:23.0,43.799084,-120.650238
4095.72, 2019/11/16 17:54:25.0,43.799084,-120.650238
4094.69, 2019/11/16 17:54:27.0,43.799084,-120.650238
4095.72, 2019/11/16 17:54:29.0,43.799084,-120.650238
4093.46, 2019/11/16 17:54:30.0,43.799084,-120.650238
4093.46, 2019/11/16 17:54:32.0,43.799084,-120.650238
4093.05, 2019/11/16 17:54:34.0,43.799084,-120.650238
4092.85, 2019/11/16 17:54:36.0,43.799084,-120.650238
4091.41, 2019/11/16 17:54:38.0,43.799084,-120.650238
4093.05, 2019/11/16 17:54:39.0,43.799084,-120.650238
4091, 2019/11/16 17:54:41.0,43.799084,-120.650238
4092.23, 2019/11/16 17:54:43.0,43.799084,-120.650238
4094.28, 2019/11/16 17:54:45.0,43.799084,-120.650238
4093.26, 2019/11/16 17:54:47.0,43.799084,-120.650238
4092.23, 2019/11/16 17:54:49.0,43.799084,-120.650238
4093.05, 2019/11/16 17:54:50.0,43.799084,-120.650238
4093.05, 2019/11/16 17:54:52.0,43.799084,-120.650238
4093.67, 2019/11/16 17:54:54.0,43.799084,-120.650238
4093.46, 2019/11/16 17:54:56.0,43.799084,-120.650238
4094.08, 2019/11/16 17:54:58.0,43.799084,-120.650238
4094.28, 2019/11/16 17:54:59.0,43.799084,-120.650238
4095.72, 2019/11/16 17:55:1.0,43.799084,-120.650238
4097.77, 2019/11/16 17:55:3.0,43.799084,-120.650238
4097.15, 2019/11/16 17:55:5.0,43.799084,-120.650238
4096.74, 2019/11/16 17:55:7.0,43.799084,-120.650238
4096.95, 2019/11/16 17:55:9.0,43.799084,-120.650238
4096.33, 2019/11/16 17:55:10.0,43.799084,-120.650238
4098.79, 2019/11/16 17:55:12.0,43.799084,-120.650238
4096.54, 2019/11/16 17:55:14.0,43.799084,-120.650238
4097.36, 2019/11/16 17:55:16.0,43.799084,-120.650238
4096.74, 2019/11/16 17:55:18.0,43.799084,-120.650238
4096.33, 2019/11/16 17:55:19.0,43.799084,-120.650238
4097.15, 2019/11/16 17:55:21.0,43.799084,-120.650238
4097.97, 2019/11/16 17:55:23.0,43.799084,-120.650238
4097.36, 2019/11/16 17:55:25.0,43.799084,-120.650238
4097.56, 2019/11/16 17:55:27.0,43.799084,-120.650238
4097.36, 2019/11/16 17:55:29.0,43.799084,-120.650238
4095.92, 2019/11/16 17:55:30.0,43.799084,-120.650238
4096.13, 2019/11/16 17:55:32.0,43.799084,-120.650238
4096.33, 2019/11/16 17:55:34.0,43.799084,-120.650238
4096.13, 2019/11/16 17:55:36.0,43.799084,-120.650238
4096.74, 2019/11/16 17:55:38.0,43.799084,-120.650238
4095.72, 2019/11/16 17:55:39.0,43.799084,-120.650238
4096.13, 2019/11/16 17:55:41.0,43.799084,-120.650238
4096.95, 2019/11/16 17:55:43.0,43.799084,-120.650238
4097.36, 2019/11/16 17:55:45.0,43.799084,-120.650238
4096.95, 2019/11/16 17:55:47.0,43.799084,-120.650238
4096.33, 2019/11/16 17:55:49.0,43.799084,-120.650238
4096.74, 2019/11/16 17:55:50.0,43.799084,-120.650238
4097.36, 2019/11/16 17:55:52.0,43.799084,-120.650238
4096.95, 2019/11/16 17:55:54.0,43.799084,-120.650238
4096.33, 2019/11/16 17:55:56.0,43.799084,-120.650238
4097.77, 2019/11/16 17:55:58.0,43.799084,-120.650238
4096.33, 2019/11/16 17:55:59.0,43.799084,-120.650238
4097.77, 2019/11/16 17:56:1.0,43.799084,-120.650238
4097.77, 2019/11/16 17:56:3.0,43.799084,-120.650238
4099, 2019/11/16 17:56:5.0,43.799084,-120.650238
4097.77, 2019/11/16 17:56:7.0,43.799084,-120.650238
4098.18, 2019/11/16 17:56:9.0,43.799084,-120.650238
4097.15, 2019/11/16 17:56:10.0,43.799084,-120.650238
4098.18, 2019/11/16 17:56:12.0,43.799084,-120.650238
4097.36, 2019/11/16 17:56:14.0,43.799084,-120.650238
4096.74, 2019/11/16 17:56:16.0,43.799084,-120.650238
4096.33, 2019/11/16 17:56:18.0,43.799084,-120.650238
4096.74, 2019/11/16 17:56:19.0,43.799084,-120.650238
4095.31, 2019/11/16 17:56:21.0,43.799084,-120.650238
4094.28, 2019/11/16 17:56:23.0,43.799084,-120.650238
4093.87, 2019/11/16 17:56:25.0,43.799084,-120.650238
4094.28, 2019/11/16 17:56:26.0,43.799084,-120.650238
4093.05, 2019/11/16 17:56:28.0,43.799084,-120.650238
4093.87, 2019/11/16 17:56:30.0,43.799084,-120.650238
4093.67, 2019/11/16 17:56:32.0,43.799084,-120.650238
4092.85, 2019/11/16 17:56:34.0,43.799084,-120.650238
4093.05, 2019/11/16 17:56:35.0,43.799084,-120.650238
4093.05, 2019/11/16 17:56:37.0,43.799084,-120.650238
4093.05, 2019/11/16 17:56:39.0,43.799084,-120.650238
4093.67, 2019/11/16 17:56:41.0,43.799084,-120.650238
4092.44, 2019/11/16 17:56:43.0,43.799084,-120.650238
4093.05, 2019/11/16 17:56:45.0,43.799084,-120.650238
4092.64, 2019/11/16 17:56:46.0,43.799084,-120.650238
4094.08, 2019/11/16 17:56:48.0,43.799084,-120.650238
4092.85, 2019/11/16 17:56:50.0,43.799084,-120.650238
4094.28, 2019/11/16 17:56:52.0,43.799084,-120.650238
4094.28, 2019/11/16 17:56:54.0,43.799084,-120.650238
4093.46, 2019/11/16 17:56:55.0,43.799084,-120.650238
4094.9, 2019/11/16 17:56:57.0,43.799084,-120.650238
4093.46, 2019/11/16 17:56:59.0,43.799084,-120.650238
4095.1, 2019/11/16 17:57:1.0,43.799084,-120.650238
4095.51, 2019/11/16 17:57:3.0,43.79908,-120.650238
4094.49, 2019/11/16 17:57:5.0,43.79908,-120.650238
4095.51, 2019/11/16 17:57:6.0,43.79908,-120.650238
